Washington (PST) SNOTEL Site Marten Ridge - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 26 08:48:52 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,
,,,,,,,
Site Id,Date,Time,SNWD.I-1 (in) ,,,,
999,4/9/2022,,126,,,,
999,4/10/2022,,128,,,,
999,4/11/2022,,128,,,,
999,4/12/2022,,126,,,,
999,4/13/2022,,130,,,,
999,4/14/2022,,127,,,,
999,4/15/2022,,125,,,,
999,4/16/2022,,124,,,,
999,4/17/2022,,122,,,,
999,4/18/2022,,123,,,,
999,4/19/2022,,126,,,,
999,4/20/2022,,126,,,,
999,4/21/2022,,126,,,,
999,4/22/2022,,126,,,,
999,4/23/2022,,124,,,,
999,4/24/2022,,122,,,,
999,4/25/2022,,120,,,,
999,4/26/2022,,118,,,,
999,4/27/2022,,121,,,,
999,4/28/2022,,120,,,,
999,4/29/2022,,120,,,,
999,4/30/2022,,119,,,,
999,5/1/2022,,117,,,,
999,5/2/2022,,116,,,,
999,5/3/2022,,114,,,,
999,5/4/2022,,113,,,,
999,5/5/2022,,112,,,,
999,5/6/2022,,113,,,,
999,5/7/2022,,111,,,,
999,5/8/2022,,110,,,,
999,5/9/2022,,110,,,,
999,5/10/2022,,113,,,,
999,5/11/2022,,112,,,,
999,5/12/2022,,110,,,,
999,5/13/2022,,112,,,,
999,5/14/2022,,111,,,,
999,5/15/2022,,110,,,,
999,5/16/2022,,108,,,,
999,5/17/2022,,106,,,,
999,5/18/2022,,105,,,,
999,5/19/2022,,104,,,,
999,5/20/2022,,106,,,,
999,5/21/2022,,104,,,,
999,5/22/2022,,103,,,,
999,5/23/2022,,101,,,,
999,5/24/2022,,100,,,,
999,5/25/2022,,98,,,,
999,5/26/2022,,97,,,,
999,5/27/2022,,94,,,,
999,5/28/2022,,93,,,,
999,5/29/2022,,92,,,,
999,5/30/2022,,91,,,,
999,5/31/2022,,90,,,,
999,6/1/2022,,87,,,,
999,6/2/2022,,85,,,,
999,6/3/2022,,81,,,,
999,6/4/2022,,80,,,,
999,6/5/2022,,77,,,,
999,6/6/2022,,74,,,,
999,6/7/2022,,74,,,,
999,6/8/2022,,71,,,,
999,6/9/2022,,68,,,,
999,6/10/2022,,66,,,,
999,6/11/2022,,63,,,,
999,6/12/2022,,60,,,,
999,6/13/2022,,60,,,,
999,6/14/2022,,59,,,,
999,6/15/2022,,57,,,,
999,6/16/2022,,55,,,,
999,6/17/2022,,54,,,,
999,6/18/2022,,53,,,,
999,6/19/2022,,51,,,,
999,6/20/2022,,49,,,,
999,6/21/2022,,46,,,,
999,6/22/2022,,44,,,,
999,6/23/2022,,42,,,,
999,6/24/2022,,40,,,,
999,6/25/2022,,34,,,,
999,6/26/2022,,31,,,,
999,6/27/2022,,25,,,,
999,6/28/2022,,20,,,,
999,6/29/2022,,16,,,,
999,6/30/2022,,14,,,,
999,7/1/2022,,8,,,,
999,7/2/2022,,7,,,,
999,7/3/2022,,4,,,,
999,7/4/2022,,3,,,,
999,7/5/2022,,0,,,,
999,7/6/2022,,0,,,,
999,7/7/2022,,0,,,,
999,7/8/2022,,0,,,,
999,7/9/2022,,0,,,,
999,7/10/2022,,0,,,,
999,7/11/2022,,0,,,,
999,7/12/2022,,0,,,,
999,7/13/2022,,0,,,,
999,7/14/2022,,0,,,,
999,7/15/2022,,0,,,,
999,7/16/2022,,0,,,,
999,7/17/2022,,0,,,,
999,7/18/2022,,0,,,,
999,7/19/2022,,0,,,,
999,7/20/2022,,0,,,,
999,7/21/2022,,0,,,,
999,7/22/2022,,0,,,,
999,7/23/2022,,0,,,,
999,7/24/2022,,0,,,,
999,7/25/2022,,0,,,,
999,7/26/2022,,0,,,,
999,7/27/2022,,0,,,,
999,7/28/2022,,0,,,,
999,7/29/2022,,0,,,,
999,7/30/2022,,0,,,,
999,7/31/2022,,0,,,,
999,8/1/2022,,0,,,,
999,8/2/2022,,0,,,,
999,8/3/2022,,0,,,,
999,8/4/2022,,0,,,,
999,8/5/2022,,0,,,,
999,8/6/2022,,0,,,,
999,8/7/2022,,0,,,,
999,8/8/2022,,0,,,,
999,8/9/2022,,0,,,,
999,8/10/2022,,0,,,,
999,8/11/2022,,0,,,,
999,8/12/2022,,0,,,,
999,8/13/2022,,0,,,,
999,8/14/2022,,0,,,,
999,8/15/2022,,0,,,,
999,8/16/2022,,0,,,,
999,8/17/2022,,0,,,,
999,8/18/2022,,0,,,,
999,8/19/2022,,0,,,,
999,8/20/2022,,0,,,,
999,8/21/2022,,0,,,,
999,8/22/2022,,0,,,,
999,8/23/2022,,0,,,,
999,8/24/2022,,0,,,,
999,8/25/2022,,0,,,,
999,8/26/2022,,0,,,,
999,8/27/2022,,0,,,,
999,8/28/2022,,0,,,,
999,8/29/2022,,0,,,,
999,8/30/2022,,0,,,,
999,8/31/2022,,0,,,,
999,9/1/2022,,0,,,,
999,9/2/2022,,0,,,,
999,9/3/2022,,0,,,,
999,9/4/2022,,0,,,,
999,9/5/2022,,0,,,,
999,9/6/2022,,0,,,,
999,9/7/2022,,0,,,,
999,9/8/2022,,0,,,,
999,9/9/2022,,0,,,,
999,9/10/2022,,0,,,,
999,9/11/2022,,0,,,,
999,9/12/2022,,0,,,,
999,9/13/2022,,0,,,,
999,9/14/2022,,0,,,,W
999,9/15/2022,,0,,,,
999,9/16/2022,,0,,,,
999,9/17/2022,,0,,,,
999,9/18/2022,,0,,,,
999,9/19/2022,,0,,,,
999,9/20/2022,,0,,,,
999,9/21/2022,,0,,,,
999,9/22/2022,,0,,,,
999,9/23/2022,,0,,,,
999,9/24/2022,,0,,,,
999,9/25/2022,,0,,,,
999,9/26/2022,,0,,,,
999,9/27/2022,,0,,,,
999,9/28/2022,,0,,,,
999,9/29/2022,,0,,,,
999,9/30/2022,,0,,,,
999,9/30/2022,23:59,0,,,,
999,10/1/2022,,0,,,,
999,10/2/2022,,0,,,,
999,10/3/2022,,0,,,,
999,10/4/2022,,0,,,,
999,10/5/2022,,0,,,,
999,10/6/2022,,0,,,,
999,10/7/2022,,0,,,,
999,10/8/2022,,0,,,,
999,10/9/2022,,0,,,,
999,10/10/2022,,0,,,,
999,10/11/2022,,0,,,,
999,10/12/2022,,0,,,,
999,10/13/2022,,0,,,,
999,10/14/2022,,0,,,,
999,10/15/2022,,0,,,,
999,10/16/2022,,0,,,,
999,10/17/2022,,0,,,,
999,10/18/2022,,0,,,,
999,10/19/2022,,0,,,,
999,10/20/2022,,0,,,,
999,10/21/2022,,0,,,,
999,10/22/2022,,0,,,,
999,10/23/2022,,0,,,,
999,10/24/2022,,0,,,,
999,10/25/2022,,2,,,,
999,10/26/2022,,5,,,,
999,10/27/2022,,7,,,,
999,10/28/2022,,6,,,,
999,10/29/2022,,4,,,,
999,10/30/2022,,4,,,,
999,10/31/2022,,2,,,,
999,11/1/2022,,2,,,,
999,11/2/2022,,2,,,,
999,11/3/2022,,2,,,,
999,11/4/2022,,9,,,,
999,11/5/2022,,11,,,,
999,11/6/2022,,10,,,,
999,11/7/2022,,19,,,,
999,11/8/2022,,18,,,,
999,11/9/2022,,17,,,,
999,11/10/2022,,17,,,,
999,11/11/2022,,17,,,,
999,11/12/2022,,18,,,,
999,11/13/2022,,17,,,,
999,11/14/2022,,17,,,,
999,11/15/2022,,17,,,,
999,11/16/2022,,16,,,,
999,11/17/2022,,16,,,,
999,11/18/2022,,16,,,,
999,11/19/2022,,16,,,,
999,11/20/2022,,16,,,,
999,11/21/2022,,14,,,,
999,11/22/2022,,14,,,,
999,11/23/2022,,12,,,,
999,11/24/2022,,12,,,,
999,11/25/2022,,11,,,,
999,11/26/2022,,12,,,,
999,11/27/2022,,24,,,,
999,11/28/2022,,28,,,,
999,11/29/2022,,26,,,,
999,11/30/2022,,36,,,,
999,12/1/2022,,36,,,,
999,12/2/2022,,34,,,,
999,12/3/2022,,36,,,,
999,12/4/2022,,35,,,,
999,12/5/2022,,34,,,,
999,12/6/2022,,31,,,,
999,12/7/2022,,32,,,,
999,12/8/2022,,33,,,,
999,12/9/2022,,40,,,,
999,12/10/2022,,49,,,,
999,12/11/2022,,55,,,,
999,12/12/2022,,52,,,,
999,12/13/2022,,50,,,,
999,12/14/2022,,48,,,,
999,12/15/2022,,47,,,,
999,12/16/2022,,47,,,,
999,12/17/2022,,46,,,,
999,12/18/2022,,44,,,,
999,12/19/2022,,48,,,,
999,12/20/2022,,53,,,,
999,12/21/2022,,59,,,,
999,12/22/2022,,55,,,,
999,12/23/2022,,54,,,,
999,12/24/2022,,61,,,,
999,12/25/2022,,51,,,,
999,12/26/2022,,43,,,,
999,12/27/2022,,40,,,,
999,12/28/2022,,43,,,,
999,12/29/2022,,47,,,,
999,12/30/2022,,50,,,,
999,12/31/2022,,50,,,,
